year,Song Name,Authors,Album,Link
2012,Baio Bongo,Natasza Zylska,"Polish Popular Hits: 1955-1960, Vol. 5",https://open.spotify.com/track/0hUoprr12AHlUf0arhGvUn
2012,Sweet Nothing (feat. Florence Welch),"Calvin Harris, Florence Welch",18 Months,https://open.spotify.com/track/24LS4lQShWyixJ0ZrJXfJ5
2012,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,"Avicii, Nicky Romero",I Could Be The One [Avicii vs Nicky Romero],https://open.spotify.com/track/1sh6lL6cmlcwhqZKGiKBua
2012,We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",Some Nights,https://open.spotify.com/track/7a86XRg84qjasly9f6bPSD
2012,Mister Sandman,The Chordettes,Mr Sandman - All the Hits,https://open.spotify.com/track/00e59ZgjHI2GwsiY3oXayw
2012,Swimming Pools (Drank),Kendrick Lamar,Swimming Pools (Drank),https://open.spotify.com/track/6REbwUNlppTfcnV4d4ZoZi
2012,I Cry,Flo Rida,Wild Ones,https://open.spotify.com/track/4bZd0nRuX8HyjeXAUBczvm
2013,Venus - Bonus Track,Frankie Avalon,Swingin' On A Rainbow / The Young Frankie Avalon & Bonus Tracks,https://open.spotify.com/track/0qDShcc7oY6M8OFaDXHOZG
2013,Papaoutai,Stromae,racine carrée,https://open.spotify.com/track/34dx8DACTJsc3rsJdaEIQw
2014,Gooey,Glass Animals,ZABA,https://open.spotify.com/track/1gk3FhAV07q9Jg77UxnVjX
2014,Stolen Dance,Milky Chance,Sadnecessary,https://open.spotify.com/track/6vECYJHxYmm3Ydt3fF01pE
2014,Left Hand Free,alt-J,This Is All Yours,https://open.spotify.com/track/5qJqzpNdEbt92roedFwoDR
2014,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),https://open.spotify.com/track/2zjt2hHBbiv5SuxYg8Z7eP
2014,I Got U,"Duke Dumont, Jax Jones",I Got U,https://open.spotify.com/track/023H4I7HJnxRqsc9cqeFKV
2014,Lights - Single Version,Ellie Goulding,Halcyon Days,https://open.spotify.com/track/2QwG0flKv1wq9fyvfsMD9C
2014,Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",Waves (Robin Schulz Radio Edit),https://open.spotify.com/track/1HFfMOxCAT4GAwaPfCdmUs
2014,Fancy,"Iggy Azalea, Charli xcx",The New Classic (Deluxe Version),https://open.spotify.com/track/3W3KtDwAIg3mAruSpnfG3Q
2014,Dernière danse,Indila,Mini World,https://open.spotify.com/track/65uoaqX5qcjXZRheAj1qQT
2014,In And Out Of Love,"Armin van Buuren, Sharon Den Adel",Armin Anthems Top 100 (Ultimate Singles Collected),https://open.spotify.com/track/57nKL06bKwjaM5Y0aMtY9v
2014,My Love (feat. Jess Glynne),"Route 94, Jess Glynne",My Love (feat. Jess Glynne),https://open.spotify.com/track/61UQzeiIluhpzpMdY4ag3q
2015,Runaway (U & I),Galantis,Pharmacy,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
2015,Worth It (feat. Kid Ink),"Fifth Harmony, Kid Ink",Reflection (Deluxe),https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
2015,No Type,Rae Sremmurd,SremmLife,https://open.spotify.com/track/6wb6zxkNTBtcYVkXcvNyJp
2015,Trójkąt,Taco Hemingway,Trójkąt warszawski,https://open.spotify.com/track/3tjv9IhYkopfYHYqyXZ8yg
2015,"World, Hold On - Radio Edit",Bob Sinclar,"Dance Grooves, Vol. 3",https://open.spotify.com/track/780BVi1nSAeuAYM1zPvC6t
2015,W Dobrą Stronę,Dawid Podsiadło,Annoyance and Disappointment,https://open.spotify.com/track/4vlcTHpj4rGBPHGrA1wf2l
2016,Side To Side,"Ariana Grande, Nicki Minaj",Dangerous Woman,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
2016,DUELE EL CORAZON (feat. Wisin),"Enrique Iglesias, Wisin",DUELE EL CORAZON (feat. Wisin),https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
2016,The Other Side Of Paradise,Glass Animals,How To Be A Human Being,https://open.spotify.com/track/0rRjGruFonCGOt0S5zAJNQ
2016,Trudno tak (razem byc nam ze soba),"Krzysztof Krawczyk, Edyta Bartosiewicz",Duety,https://open.spotify.com/track/2XaWRFfWAopw4MjhWzuJ15
2017,Brazil,Declan McKenna,What Do You Think About the Car?,https://open.spotify.com/track/4sNG6zQBmtq7M8aeeKJRMQ
2017,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",Swalla (feat. Nicki Minaj & Ty Dolla $ign),https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
2017,HUMBLE.,Kendrick Lamar,DAMN.,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2017,Going Backwards,Depeche Mode,Spirit (Deluxe),https://open.spotify.com/track/0Ko2PABMXhDGFuBYOlvWcx
2017,Every Breath You Take,The Police,Stranger Things (Soundtrack from the Netflix Original Series),https://open.spotify.com/track/0SNGe4xksgp7CGnY5kMXOJ
2017,Candy,"Quebonafide, Deemz, Klaudia Szafrańska",Dla fanek euforii,https://open.spotify.com/track/34u4K9WM9syTgswZpZyNdH
2017,Down the Line,Beach Fossils,Somersault,https://open.spotify.com/track/05ZUxHiGT7VR6ShJjhwJxn
2017,Somebody's Watching Me - Single Version,Rockwell,Scream,https://open.spotify.com/track/6A4Jc8npNo79BOgsrPptLA
2017,hometown,cleopatrick,hometown,https://open.spotify.com/track/6p8DGrcAUBuLUgDIKcUn0P
2018,Delfin,"Bedoes 2115, Kubi Producent, Koldi, Young Multi, Beteo",Kwiat polskiej mlodzieży,https://open.spotify.com/track/60R3Op30Mb90ZziswP8igY
2018,Grill u Gawrona,"Białas, Lanek",In hajs we trust 2,https://open.spotify.com/track/7dhukTnKwiR8TfkymCBVRN
2018,Oddajemy krew wampirom,"Szpaku, Włodi",Atypowy,https://open.spotify.com/track/6S7JM8iWLGnexVugjcmjpR
2018,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",Black Panther The Album Music From And Inspired By,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
2018,Alrighty Aphrodite,Peach Pit,Being So Normal,https://open.spotify.com/track/6OiRh4kttAs1YWglvTcYkB
2018,YEAH RIGHT,Joji,BALLADS 1,https://open.spotify.com/track/52ooD6LHuXFubM6d1CDD93
2018,Moonlight,XXXTENTACION,?,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
2019,Floyd Mayweather,Żabson,Internaziomal,https://open.spotify.com/track/6cclcpedmi9AeLYr92ootQ
2019,"Niech mówią, że to nie jest miłość - Live","Piotr Rubik, Marcin Januszkiewicz, Michał Gasz, Marta Moszczyńska, Agnieszka Przekupień",Moja historia (Live),https://open.spotify.com/track/4CqHfNyIL42NUy2eTpnIWu
2019,Wicked Game,Grace Carter,Wicked Game,https://open.spotify.com/track/57h4OYRuqBvgE87biicEzq
2019,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2019,Język ciała,"Tymek, C0PIK, Bazgrov, Big Scythe",Klubowe,https://open.spotify.com/track/4mW3jXs0vwWVAXzrkWXx2Y
2019,ORANGE SODA,Baby Keem,DIE FOR MY BITCH,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
2019,Blinding Lights,The Weeknd,Blinding Lights,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2019,Say So,Doja Cat,Hot Pink,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
2020,TOKYO2020,"Quebonafide, Taco Hemingway",ROMANTIC PSYCHO,https://open.spotify.com/track/5DCpAGSaEz0S7MdDXf4UjR
2020,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2020,100 dni do matury,"Mata, Ezra Williams, Sarcastic Sounds",100 dni do matury,https://open.spotify.com/track/4eNKssDPD3UIDbSvbmLCXZ
2020,More Than A Woman,Bee Gees,How Can You Mend A Broken Heart,https://open.spotify.com/track/2cX2coZS1PYBfPs8wgbdWE
2020,Stayin Alive,Bee Gees,How Can You Mend A Broken Heart,https://open.spotify.com/track/5ubvP9oKmxLUVq506fgLhk
2020,Patointeligencja,Mata,100 dni do matury,https://open.spotify.com/track/4CxZbANvWsKCMb7qeONc3V
2021,Woman,Doja Cat,Planet Her,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
2021,Aphasia,Vundabar,Devil for the Fire,https://open.spotify.com/track/7vxHbetr8uxpia8gRi9x6N
2021,Szklanki,Young Leosia,Szklanki,https://open.spotify.com/track/7mAnwV4f6RxGMmA7D02Hw9
2021,Sexoholik,Żabson,Ziomalski Mixtape,https://open.spotify.com/track/6mP31FqR4ZJzyrb4wVYuM5
2021,Puerto Bounce,"Żabson, Kizo, Vladimir Cauchemar, ZetHa",Puerto Bounce,https://open.spotify.com/track/7g05XsuwROZFkUDNyktZdm
2021,Hit the Road Jack,Ray Charles,Soul,https://open.spotify.com/track/2HoqbEOXgbDSLZ5XCePEXt
2023,Houdini,Dua Lipa,Houdini,https://open.spotify.com/track/4OMJGnvZfDvsePyCwRGO7X
2023,Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
2024,Miłość jest ślepa,sanah,Kaprysy,https://open.spotify.com/track/3IQN4rjqZlmJgO4exMkaNT
2024,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,https://open.spotify.com/track/7BRD7x5pt8Lqa1eGYC4dzj
2024,Te numery,"Young Leosia, bambi, PG$, francis",PG$,https://open.spotify.com/track/3CgWmnnox6kF0NvJpZWSv8
2025,EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,https://open.spotify.com/track/6J5kc12BW5HuP3d7C3vvx8
2025,How Does It Feel To Be Forgotten,"Selena Gomez, benny blanco",I Said I Love You First,https://open.spotify.com/track/7sFMOSnRBa6td4lZa1oiTI
2025,BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2
2025,Stoned,Mac Miller,Balloonerism,https://open.spotify.com/track/1e3AdX6I8gaQKjQMONn9tA
2025,BĘDĘ PREZYDENTEM :),Mata,BĘDĘ PREZYDENTEM :),https://open.spotify.com/track/1yWCdDFV6kdML8EeUpyzhd
2025,Gnarly,KATSEYE,Gnarly,https://open.spotify.com/track/1j15Ar0qGDzIR0v3CQv3JL
2025,Midnight Sun,Zara Larsson,Midnight Sun,https://open.spotify.com/track/37UCSVSqiPGdR1DijOFyYY
