year,Song Name,Authors,Album,Link
1972,It Never Rains in Southern California,Albert Hammond,It Never Rains In Southern California,https://open.spotify.com/track/6tunhVGD8C05MZNjSVIsjw
1973,The Great Gig in the Sky,Pink Floyd,The Dark Side of the Moon,https://open.spotify.com/track/2TjdnqlpwOjhijHCwHCP2d
1974,Tyle słońca w całym mieście,Anna Jantar,Tyle słońca w całym mieście,https://open.spotify.com/track/0Z64VYDXM5lVZziPJHEd9L
1975,Don't Go Breaking My Heart,"Elton John, Kiki Dee",Rock Of The Westies,https://open.spotify.com/track/7HW5WIw7ZgZORCzUxv5gW5
1975,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
1976,Sunny,Boney M.,Take The Heat Off Me,https://open.spotify.com/track/3pf96IFggfQuT6Gafqx2rt
1976,Daddy Cool,Boney M.,Take The Heat Off Me,https://open.spotify.com/track/3WMbD1OyfKuwWDWMNbPQ4g
1977,Baby Come Back,Player,Player,https://open.spotify.com/track/41sGGCCoHI2GLV9qadX80A
1977,The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
1977,"""Heroes"" - 2017 Remaster",David Bowie,"""Heroes"" (2017 Remaster)",https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z
1978,Blame It on the Boogie,The Jacksons,Destiny,https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS
1978,Got to Be Real,Cheryl Lynn,Cheryl Lynn (Expanded Edition),https://open.spotify.com/track/58r4JuwHhXLAkttkaUZfLw
1978,Right Down the Line,Gerry Rafferty,City to City,https://open.spotify.com/track/2Xb6wJYGi0QXwURw5WWvI5
1978,September,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",https://open.spotify.com/track/2grjqo0Frpf2okIBiifQKs
1979,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,https://open.spotify.com/track/3vkQ5DAB1qQMYO4Mr9zJN6
1979,Voulez-Vous,ABBA,Voulez-Vous,https://open.spotify.com/track/17OqI90oTFZ3J8PVu6j07V
1979,I Was Made For Lovin' You,KISS,Dynasty,https://open.spotify.com/track/07q0QVgO56EorrSGHC48y3
1979,"I Feel Love - 12"" Version",Donna Summer,Bad Girls (Deluxe Edition),https://open.spotify.com/track/7B7lf3sIze5VR2WuYttn18
1979,Bad Girls,Donna Summer,Bad Girls,https://open.spotify.com/track/1ibRqifchaAfeNdQGpbRVW
1979,Rock with You - Single Version,Michael Jackson,Off the Wall,https://open.spotify.com/track/7oOOI85fVQvVnK5ynNMdW7
1980,Lay All Your Love On Me,ABBA,Super Trouper,https://open.spotify.com/track/3LIaJyHeA9lxmskbFaez44
1980,Lay All Your Love On Me,ABBA,Super Trouper,https://open.spotify.com/track/4euAGZTszWPrriggYK0HG9
1980,Nic nie może wiecznie trwać,Anna Jantar,Anna Jantar,https://open.spotify.com/track/6qBBQTa27IJAsz3nGxTm7p
1980,One Night in Bangkok,Murray Head,Emotions (My Favourite Songs),https://open.spotify.com/track/6erBowZaW6Ur3vNOWhS2zM
1981,Girls on Film - 2010 Remaster,Duran Duran,Duran Duran (Deluxe Edition),https://open.spotify.com/track/4EFkvOhgAmlHEfDfvfSoh5
1981,Let's Groove,"Earth, Wind & Fire",Raise!,https://open.spotify.com/track/3koCCeSaVUyrRo3N2gHrd8
1982,I'm So Excited,The Pointer Sisters,So Excited! (Expanded Edition),https://open.spotify.com/track/1ot6jEe4w4hYnsOPjd3xKQ
1982,It's Raining Men,The Weather Girls,Success,https://open.spotify.com/track/2IvetNzSZMH5gwjInoyr18
1982,Come On Eileen,Dexys Midnight Runners,Too Rye Ay (Deluxe Edition),https://open.spotify.com/track/5uzNa0SBGOe5pPnstWHMCt
1983,Break My Stride,Matthew Wilder,I Don't Speak The Language,https://open.spotify.com/track/1mCsF9Tw4AkIZOjvZbZZdT
1983,Mad World,Tears For Fears,The Hurting,https://open.spotify.com/track/0Qv7xi6uPSqH2k82tOkGSt
1983,I'm Still Standing,Elton John,Too Low For Zero (Remastered With Bonus Tracks),https://open.spotify.com/track/5fwP61Nmo5xXYIjO9XEWqb
1983,Our House,Madness,Madness,https://open.spotify.com/track/1qV6e4ITnfGmA6m6Vklvbi
1984,Radio Ga Ga - Remastered 2011,Queen,The Works (2011 Remaster),https://open.spotify.com/track/1nQRg9q9uwALGzouOX5OyQ
1984,Self Control,Laura Branigan,Self Control,https://open.spotify.com/track/6JNJERZGJwDVgkmbohBw7u
1984,Forever Young - 2019 Remaster,Alphaville,Forever Young (Super Deluxe Edition; 2019 Remaster),https://open.spotify.com/track/6XHNIbru8xGohLzHNgxQvF
1985,Take on Me,a-ha,Hunting High and Low,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
1985,Cheri Cheri Lady,Modern Talking,Let's Talk About Love,https://open.spotify.com/track/2aEuA8PSqLa17Y4hKPj5rr
1985,Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE
1985,"You're My Heart, You're My Soul",Modern Talking,The First & Second Album (30th Anniversary Edition),https://open.spotify.com/track/0Zn63G0XTiqXwr1KSmARWz
1985,You Spin Me Round (Like a Record),Dead Or Alive,Youthquake,https://open.spotify.com/track/0BB9eUBBaaX6GALSYNcEp7
1986,(I Just) Died In Your Arms,Cutting Crew,Broadcast,https://open.spotify.com/track/4ByEFOBuLXpCqvO1kw8Wdm
1986,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,The Queen Is Dead,https://open.spotify.com/track/0WQiDwKJclirSYG9v5tayI
1986,You Give Love A Bad Name,Bon Jovi,Slippery When Wet (Remastered),https://open.spotify.com/track/5VVwwfK6Cp9IydkhKfJUEq
1986,La Isla Bonita,Madonna,True Blue,https://open.spotify.com/track/6r8k1vznHrzlEKYxL4dZEe
1987,House of the Rising Sun,The Animals,The Singles Plus,https://open.spotify.com/track/4mn2kNTqiGLwaUR8JdhJ1l
1987,These Boots Are Made for Walkin',Nancy Sinatra,Full Metal Jacket (Original Motion Picture Soundtrack),https://open.spotify.com/track/4j2W1eM03mz5MVN5LvR7VH
1987,Just Like Heaven - Remastered 2006,The Cure,Kiss Me Kiss Me Kiss Me (Remastered 2006),https://open.spotify.com/track/4NnWuGQujzWUEg0uZokO5M
1987,I Think We're Alone Now,Tiffany,Tiffany,https://open.spotify.com/track/4uvjOKsp7mSjrDhWdkLPBY
1987,Everywhere,Fleetwood Mac,Tango In The Night,https://open.spotify.com/track/6i8ecOsx4J2Px1maiqzqoG
1987,Little Lies - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),https://open.spotify.com/track/4CoSCPlKNrWli7E5kFtbcl
1988,Little Lies,Fleetwood Mac,Greatest Hits,https://open.spotify.com/track/08o75xMKmGrKny6GsXrNJW
1988,Everywhere,Fleetwood Mac,Greatest Hits,https://open.spotify.com/track/1prZ0pr6XoRCxcrC3MCL0M
